Location ID,City Name
64,Mustang Bayou C619
161,Clinton C403/C304/AH113
162,Houston Deer Park C3
163,Danciger C618
164,Houston North Loop C
165,UH WG Jones Forest C698
166,UH Moody Tower C695
167,UH Coastal Center C697
168,Houston East C1/G316
169,Houston Texas Avenue C411
170,Lake Jackson C1016
171,U of H
172,HRM
173,Houston Westhollow C
174,Wallisville Road C617
175,Texas City Ball Park A147/C1022
176,Freeport South Avenue I C1012
177,Sheldon C551
178,Conroe Relocated C78/A321
179,Texas City 34th St. C620
180,Channelview C15/AH115
181,Houston Southwest Freeway C1066
183,Lynchburg Ferry C1015/A165
184,Crosby Library C553
186,Houston Aldine C8
187,Houston Bayland Park
188,Houston Croquet C409
189,Atascocita C560
190,Huffman Wolf Road C563
191,Seabrook Friendship
192,Lang C408
193,Houston Monroe C406
194,Houston North Wayside C405
195,Houston Park Place C
196,West Houston C554
197,Baytown Wetlands Center C552
198,Bunker Hill Village C562
199,Baytown Garth C1017
200,Meyer Park C561
202,Galveston 99th St. C1034/A320/X183
203,Katy Park C559
204,Manvel Croix Park C84
205,Northwest Harris Co. C26/A110/X154
206,Tom Bass C558
207,MMFRA1001
209,Tooele
211,Felton Cal-Fire
212,ROLAND
213,Twin Falls PM25
214,MMFRA1001
215,Unionville
216,South Bend-Shields D
217,Lafayette-Greenbush
218,Ogden Dunes
219,Columbus - Rocky For
220,Larwill
221,Indpls-Washington Pa
222,Terre Haute-Lafayett
223,Gary-IITRI
224,Fort Wayne-Beacon St
225,New Albany
226,Elkhart-Prairie St.
227,Kokomo - E. Vaile Av
228,Fishers
229,Caddo Valley
230,Barstow
231,Lucerne Valley
232,Trona - Athol and Te
233,Spokane Valley-E Bro
234,Enterprise - US Fore
237,San Ysidro
238,Maryland Heights
239,Alamo Lake
240,Waterbury
242,POTAWATOMI
243,ELDOSPGS
244,Liberty
245,Pacific
246,Hillcrest HS
247,CARTHAGE
248,MRGRETTA
249,Farrar
250,ARNOLD
251,Fellows Lake
252,Buick NE
253,BONTERRE
254,WEST ALTON
255,Mark Twain SP
256,CHARLSTN
257,Savannah
258,Trimble
259,Troost
260,St. Joseph
261,Rocky Creek
262,NWBLMFLD
263,Watkins Mill State P
264,Orchard Farm
266,Davidsonville
267,Arendtsville
268,Oxford
272,Bondville
273,Vincennes
274,Reading Airport
275,Valley Central
276,Morro Bay
277,Stockton
278,Speedwell
279,Sumatra
280,Thirty Third
281,"Eliot, Sawgrass Lane"
282,Pinedale Gaseous
283,Penn State
284,Hoxeyville
288,Hawthorne
289,LOCKELAND
293,Garden
300,Glen Burnie
305,Smithfield
306,Skiatook
308,Baytown Eastpoint C1
311,Indpls- Illinois St
312,East Chicago Post Of
313,RT
314,Indpls - I-70 E
315,Hope
316,YPT Campbell Ranch
317,Las Vegas Paiute
318,Texarkana New Boston
319,Harlingen Teege C102
320,Cortina Rancheria
321,Temple Georgia C1045
322,Helmsburg
326,Jackson NCORE
327,CasaBlanca
328,Linville Falls
329,Mt Mitchell
330,North Provo
331,Lindon
334,Miami Fire Station #
335,Homestead Fire Stati
339,Waco C1037
341,St. Marks Wildlife R
342,Lancaster
343,Athens Supersite
344,Sunrise Acres
349,BNTCR
350,Daniel South
352,Minneapolis - Pacifi
353,Minneapolis - Lowry
358,Albemarle HS
361,Tonawanda II
362,CHICOPEE
365,Hamshire C64
366,Shuttlesworth
373,Red Bluff - Walnut o
379,Mt Hall
381,Rockland Cty
383,Malta
384,CCNY
385,Newburgh
386,Susan Wagner
387,Nicks Lake
389,Sidney Oil Field
391,Near Road
392,Babylon
393,Middleport
395,Piseco Lake
396,Boston - North End
397,Thompson Falls
400,Kenosha-Water Tower
404,Soddy Daisy
405,Eastside
410,West Phoenix
415,Rifle Particulate
416,Corpus Christi - Nat
424,CHI_COM
426,Burdens Creek
428,Corvallis - Circle B
430,Penobscot Nation
433,Polson-MT
434,Edgar Evins
435,Birney
436,Parsons
438,Blackwater NWR
440,Blue Point Sheriff S
442,North Phoenix
444,Salamonie Reservoir
445,Diablo
448,Boston - Roxbury
449,Haverhill
452,Boston-Von Hillern
454,Huntington Wildlife
455,Bozeman EBAM
457,Crockett
458,Uxbridge
459,Helena
460,Cranberry
461,Providence
464,Rio Verde Sheriff Su
465,Broadus
466,Brockton
467,Beaufort
469,Hamilton
471,"Brown University, Ro"
472,Portsmouth
474,Connecticut Hill
475,Buckeye
479,Chelmsford
480,LYNN
483,Zuni Hills
484,Butte
486,Columbia Falls
488,Abington
489,Perkinstown
494,Seeley Lake
497,Howland Ameriflux
499,W Greenwich
500,Frenchtown
501,Alhambra
503,Fountain Hills
507,Worcester
508,Worcester
510,Palo Duro
511,White Fish Dead End
512,Sleeping Giant
513,Greenwood
514,South Phoenix
515,South Scottsdale
516,Georgia Station
517,West Chandler Fire S
518,West 43rd
520,Billings St. Luke's
521,BOSTON-KENMORE
522,Springfield
524,Greenfield
525,PITTSFIELD
526,Tempe
530,WARE
532,Mackville
533,E. Milton - Blue Hil
534,Missoula
535,Great Falls
536,Humboldt Mountain -
538,TRURO
539,Pinedale
540,Wash. Crossing
541,Mesa - Brooks Reserv
542,Lewistown
543,Central Phoenix
544,Centennial
545,Cedar Creek
547,Cave Creek
548,Grass Valley
550,Glendale Community C
551,Kalispell Flathead E
556,Alabama-Coushatta
557,E Providence
558,Kane Exp. Forest
559,Fall River
560,Libby
561,Dysart
563,Gothic
564,Durango Complex
565,Prince Edward
566,Wampanoag Laboratory
567,Pinnacle Peak Club H
568,Quaker City
570,Falcon Field Fire St
574,Fairhaven2
577,Corpus Christi Dona
583,LEGGETT
585,Liberty Lake-E Valey
586,Moxa Arch
590,Hawaii Volcanoes NP
595,SETRPC Mauriceville
596,Utica
597,Miami Jones Ranch
598,Youngstown - Laird A
599,Soda Springs SO2
601,Mesa Verde NP
603,Yuma Supersite
604,Hayden
605,Phoenix JLG Supersit
606,Miami Town Site
607,Rillito
608,Ajo
609,Douglas Red Cross
610,Tonto National Monum
611,Prescott College
612,840MMAZ10002
613,Miami Golf Course
614,Bullhead City
615,Queen Valley
616,Nogales Post Office
