Location ID,City Name
3,NMA - Nima
4,NMT - Nima
5,JTA - Jamestown
6,ADT - Asylum Down
7,ADEPA - Asylum Down
8,ADA - Asylum Down
9,ELC - East Legon
10,ELT - East Legon
11,ELA - East Legon
12,SPARTAN - IIT Kanpur
13,"Delhi Technological University, Delhi - CPCB"
14,SPARTAN - CITEDEF
15,IGI Airport
16,Civil Lines
17,"R K Puram, Delhi - DPCC"
18,SPARTAN - Vietnam Acad. Sci.
19,MNB
21,Beijing US Embassy
22,SPARTAN - Dhaka University
23,Amgalan
24,SPARTAN - NUS
25,Parque O'Higgins
26,Inpesca
27,Concón
28,Ursynów
30,100 ail
31,Wekerom-Riemterdijk
32,SPARTAN - Tsinghua University
33,Zaanstad-Hemkade
34,SPARTAN - Weizmann Institute
38,Cauquenes
39,Gobernación
41,Groningen-Europaweg
42,SPARTAN - Ilorin University
43,Konarskiego
44,Heerlen-Jamboreepad
45,Puente Alto
46,Bukhiin urguu
47,Valparaiso
48,Baruun 4 zam
49,"Phahol Yothin Rd., Khet Chatuchak"
50,"Punjabi Bagh, Delhi - DPCC"
51,Wieringerwerf-Medemblikkerweg
52,Rotterdam-Oost Sidelinge A13
53,Shenyang
54,Talagante
55,Utrecht-Kardinaal de Jongweg
57,"Khlong Nueng, Khlong Luang"
58,Zegveld-Oude Meije
59,Nisekh
60,Haringey Roadside
61,Coya Población
63,Philippine-Stelleweg
64,Mustang Bayou C619
65,Punteras
66,"Bang Khun Thian, Chom Thong"
67,Ventanas
68,Cerro Merquín
69,Kingston College
71,Biest Houtakker-Biestsestraat
72,Curicó
73,Coyhaique II
74,Leiden-Willem de Zwijgerlaan
76,De Zilk-Vogelaarsdreef
77,Hoek v. Holland-Berghaven
79,Hilversum-J. Gerardtsweg
80,Amsterdam-Van Diemenstraat
81,Coronel Norte
82,Haarlem-Schipholweg
85,Hellendoorn-Luttenbergerweg
86,De Rips-Blaarpeelweg
87,De Rips-Klotterpeellaan
90,Misheel expo
93,Nijmegen-Graafseweg
94,"Din Daeng, Din Daeng"
95,Amsterdam-Vondelpark
96,Wijk aan Zee-Burgemeester Rothestraat
97,IJmuiden-Kanaaldijk
98,Amsterdam-Westerpark
99,Maastricht-A2 Kasteel Hillenraadweg
100,Badhoevedorp-Sloterweg
101,Amsterdam-Hoogtij
102,Amsterdam-Einsteinweg
103,"Income Tax Office, Delhi - CPCB"
135,Prabadang Rehabiltation Center
136,Los Vientos
137,Harrow - Stanmore
138,"Lat Phrao Rd., Wang Thonglang"
139,Alto Hospicio
140,Alto Hospicio
141,London Harlington
142,Chengdu
143,Shanghai
144,Guangzhou
145,Escuela E-10
146,Southwark A2 Old Kent Road
147,Greenwich - Eltham
148,London Bloomsbury
149,Ealing - Horn Lane
150,London Haringey Priory Park South
151,Tower Hamlets - Mile End Road
152,Camden Kerbside
153,London Hillingdon
154,Westminster - Marylebone Road
155,London N. Kensington
156,London Teddington
157,Bexley - Slade Green
158,London Teddington Bushy Park
159,London Westminster
160,Derry
161,Clinton C403/C304/AH113
162,Houston Deer Park C3
163,Danciger C618
164,Houston North Loop C
165,UH WG Jones Forest C698
166,UH Moody Tower C695
167,UH Coastal Center C697
168,Houston East C1/G316
169,Houston Texas Avenue C411
170,Lake Jackson C1016
171,U of H
172,HRM
173,Houston Westhollow C
174,Wallisville Road C617
175,Texas City Ball Park A147/C1022
176,Freeport South Avenue I C1012
177,Sheldon C551
178,Conroe Relocated C78/A321
179,Texas City 34th St. C620
180,Channelview C15/AH115
181,Houston Southwest Freeway C1066
183,Lynchburg Ferry C1015/A165
184,Crosby Library C553
186,Houston Aldine C8
187,Houston Bayland Park
188,Houston Croquet C409
189,Atascocita C560
190,Huffman Wolf Road C563
191,Seabrook Friendship
192,Lang C408
193,Houston Monroe C406
194,Houston North Wayside C405
195,Houston Park Place C
196,West Houston C554
197,Baytown Wetlands Center C552
198,Bunker Hill Village C562
199,Baytown Garth C1017
200,Meyer Park C561
202,Galveston 99th St. C1034/A320/X183
203,Katy Park C559
204,Manvel Croix Park C84
205,Northwest Harris Co. C26/A110/X154
206,Tom Bass C558
207,MMFRA1001
209,Tooele
210,Liceo Polivalente
211,Felton Cal-Fire
212,ROLAND
213,Twin Falls PM25
214,MMFRA1001
215,Unionville
216,South Bend-Shields D
217,Lafayette-Greenbush
218,Ogden Dunes
219,Columbus - Rocky For
220,Larwill
221,Indpls-Washington Pa
222,Terre Haute-Lafayett
223,Gary-IITRI
224,Fort Wayne-Beacon St
225,New Albany
226,Elkhart-Prairie St.
227,Kokomo - E. Vaile Av
228,Fishers
229,Caddo Valley
230,Barstow
